image_name,center_x,center_y,target_size,image_w,image_h
1002_right,136,347,140,540,540
10043_left,146,305,140,540,540
10043_right,165,182,140,540,540
10109_left,230,202,140,540,540
10109_right,167,383,140,540,540
10112_left,154,229,140,540,540
10120_left,132,317,140,540,540
10120_right,255,398,140,540,540
10131_left,217,304,140,540,540
10131_right,241,138,140,540,540
10135_left,216,310,140,540,540
10135_right,130,354,140,540,540
10147_left,255,296,140,540,540
10147_right,223,181,140,540,540
10150_left,231,207,140,540,540
10156_left,177,331,140,540,540
10156_right,199,263,140,540,540
10159_left,175,255,140,540,540
10160_left,236,266,140,540,540
10160_right,240,223,140,540,540
10181_left,174,151,140,540,540
10181_right,211,168,140,540,540
10183_left,244,355,140,540,540
10193_left,247,195,140,540,540
10230_left,138,176,140,540,540
10230_right,268,310,140,540,540
10242_left,179,402,140,540,540
10244_left,242,353,140,540,540
10244_right,210,250,140,540,540
10250_left,152,316,140,540,540
10250_right,161,271,140,540,540
10262_left,144,224,140,540,540
10262_right,260,199,140,540,540
10272_left,131,132,140,540,540
10272_right,249,347,140,540,540
10297_left,229,350,140,540,540
10303_right,233,159,140,540,540
10306_left,267,376,140,540,540
10306_right,269,295,140,540,540
1030_left,181,302,140,540,540
1030_right,193,243,140,540,540
10312_right,212,180,140,540,540
10319_left,207,262,140,540,540
10319_right,261,238,140,540,540
10320_left,249,260,140,540,540
10325_left,244,190,140,540,540
10325_right,191,329,140,540,540
10326_left,165,237,140,540,540
1032_left,267,377,140,540,540
1032_right,208,381,140,540,540
10334_right,218,337,140,540,540
10339_left,161,357,140,540,540
10339_right,165,273,140,540,540
1034_left,169,335,140,540,540
1034_right,163,393,140,540,540
10374_left,246,341,140,540,540
10379_left,252,354,140,540,540
10379_right,141,343,140,540,540
1037_right,253,367,140,540,540
10386_left,233,197,140,540,540
10397_right,233,310,140,540,540
10401_right,133,198,140,540,540
10408_left,186,180,140,540,540
10408_right,188,133,140,540,540
10415_left,215,342,140,540,540
10415_right,250,384,140,540,540
10438_left,252,348,140,540,540
10438_right,267,227,140,540,540
10439_left,182,286,140,540,540
10439_right,265,228,140,540,540
10444_left,186,271,140,540,540
10444_right,132,271,140,540,540
10454_left,220,343,140,540,540
10454_right,156,140,140,540,540
10457_left,262,318,140,540,540
10457_right,183,228,140,540,540
10468_left,210,354,140,540,540
10489_left,158,250,140,540,540
1049_left,141,234,140,540,540
1049_right,217,404,140,540,540
10501_right,251,195,140,540,540
10503_left,151,163,140,540,540
1050_left,137,390,140,540,540
1050_right,150,409,140,540,540
10510_right,182,156,140,540,540
10513_left,223,180,140,540,540
10513_right,135,250,140,540,540
10567_left,230,275,140,540,540
10569_right,253,334,140,540,540
10592_left,220,205,140,540,540
10592_right,185,265,140,540,540
10616_left,130,202,140,540,540
10616_right,199,266,140,540,540
10645_left,149,149,140,540,540
10645_right,149,393,140,540,540
10647_left,266,170,140,540,540
10647_right,161,279,140,540,540
10651_left,254,221,140,540,540
10651_right,244,290,140,540,540
10658_right,143,190,140,540,540
10666_left,158,229,140,540,540
10671_right,192,151,140,540,540
10680_left,140,194,140,540,540
10680_right,168,224,140,540,540
10684_left,198,380,140,540,540
10684_right,160,296,140,540,540
10688_left,143,346,140,540,540
10688_right,213,369,140,540,540
10694_left,198,333,140,540,540
10694_right,227,220,140,540,540
10726_left,147,340,140,540,540
10726_right,184,359,140,540,540
10734_left,130,201,140,540,540
10734_right,224,287,140,540,540
10737_left,230,335,140,540,540
1075_left,217,383,140,540,540
1076_left,191,213,140,540,540
10811_left,247,183,140,540,540
10811_right,191,216,140,540,540
10831_left,179,346,140,540,540
10844_left,155,343,140,540,540
10844_right,240,257,140,540,540
10854_left,204,354,140,540,540
10854_right,174,371,140,540,540
10883_left,236,218,140,540,540
10883_right,174,283,140,540,540
10920_left,236,218,140,540,540
10920_right,166,231,140,540,540
10924_left,140,186,140,540,540
10924_right,215,270,140,540,540
10925_left,170,378,140,540,540
10945_right,269,347,140,540,540
10966_left,223,221,140,540,540
10966_right,131,374,140,540,540
10976_left,169,146,140,540,540
1098_right,167,261,140,540,540
11010_left,262,235,140,540,540
11026_left,188,371,140,540,540
11026_right,198,346,140,540,540
11040_left,138,263,140,540,540
11040_right,153,341,140,540,540
11054_left,174,145,140,540,540
11054_right,185,232,140,540,540
11058_left,163,261,140,540,540
11058_right,164,177,140,540,540
11069_left,164,215,140,540,540
1107_left,189,235,140,540,540
1107_right,199,147,140,540,540
11085_left,136,190,140,540,540
11085_right,233,130,140,540,540
11089_left,252,139,140,540,540
11089_right,246,153,140,540,540
11098_left,177,276,140,540,540
11098_right,235,266,140,540,540
1111_left,215,253,140,540,540
1111_right,257,323,140,540,540
11120_left,160,229,140,540,540
11120_right,155,220,140,540,540
11125_left,135,350,140,540,540
11147_left,191,317,140,540,540
11156_left,188,401,140,540,540
11156_right,190,170,140,540,540
11159_left,225,212,140,540,540
11164_right,222,383,140,540,540
11165_left,255,156,140,540,540
11165_right,183,175,140,540,540
11176_left,186,141,140,540,540
11176_right,140,165,140,540,540
11183_left,253,369,140,540,540
11187_left,149,252,140,540,540
11196_left,134,235,140,540,540
1119_right,241,233,140,540,540
11206_left,249,139,140,540,540
11209_left,131,229,140,540,540
11209_right,246,174,140,540,540
11217_left,171,179,140,540,540
11217_right,163,131,140,540,540
11229_right,167,146,140,540,540
11230_left,230,332,140,540,540
11230_right,196,273,140,540,540
11231_right,172,149,140,540,540
11238_left,130,215,140,540,540
11238_right,270,396,140,540,540
11241_right,163,250,140,540,540
11243_left,175,265,140,540,540
11243_right,182,409,140,540,540
11249_left,229,259,140,540,540
11249_right,222,163,140,540,540
11270_left,138,281,140,540,540
11270_right,130,393,140,540,540
11288_left,144,300,140,540,540
11288_right,214,144,140,540,540
11291_left,231,266,140,540,540
11291_right,151,182,140,540,540
11292_left,199,212,140,540,540
11315_right,184,230,140,540,540
11316_left,218,408,140,540,540
11316_right,263,362,140,540,540
11345_left,137,309,140,540,540
11345_right,224,306,140,540,540
11364_right,243,306,140,540,540
11384_left,135,366,140,540,540
11384_right,163,339,140,540,540
11387_left,203,260,140,540,540
11387_right,152,161,140,540,540
11408_left,190,269,140,540,540
11409_left,221,278,140,540,540
11409_right,225,398,140,540,540
1140_left,134,139,140,540,540
1140_right,216,300,140,540,540
11417_left,165,241,140,540,540
1142_right,198,250,140,540,540
11455_right,223,368,140,540,540
1145_right,203,304,140,540,540
11462_left,210,136,140,540,540
11462_right,149,247,140,540,540
11496_left,173,320,140,540,540
11496_right,163,375,140,540,540
11503_left,217,346,140,540,540
11503_right,209,245,140,540,540
1152_right,210,259,140,540,540
11539_left,248,237,140,540,540
11539_right,148,299,140,540,540
11623_left,196,153,140,540,540
11623_right,154,307,140,540,540
11624_right,245,256,140,540,540
11625_left,210,330,140,540,540
11625_right,171,225,140,540,540
11646_left,143,198,140,540,540
11646_right,182,181,140,540,540
11647_left,205,178,140,540,540
11647_right,206,155,140,540,540
11648_left,219,250,140,540,540
11648_right,216,298,140,540,540
11649_left,132,372,140,540,540
11649_right,212,189,140,540,540
11650_left,256,392,140,540,540
11650_right,265,331,140,540,540
11651_left,130,336,140,540,540
11651_right,203,197,140,540,540
11661_left,130,132,140,540,540
11661_right,206,302,140,540,540
1167_left,190,346,140,540,540
1167_right,133,406,140,540,540
11697_left,236,174,140,540,540
11698_left,262,185,140,540,540
11698_right,141,153,140,540,540
11703_left,153,315,140,540,540
11703_right,225,379,140,540,540
11724_right,203,223,140,540,540
11734_right,164,339,140,540,540
11740_right,157,297,140,540,540
11759_left,203,153,140,540,540
11759_right,252,162,140,540,540
11770_left,154,175,140,540,540
11770_right,223,232,140,540,540
11772_left,213,249,140,540,540
11772_right,246,331,140,540,540
