image_name,center_x,center_y,target_size,image_w,image_h
10043_left,135,340,140,540,540
10112_left,135,340,140,540,540
10120_left,135,340,140,540,540
10131_left,135,340,140,540,540
10150_left,135,340,140,540,540
10156_left,135,340,140,540,540
10156_right,135,340,140,540,540
10160_right,135,340,140,540,540
10181_left,135,340,140,540,540
10181_right,135,340,140,540,540
10183_left,135,340,140,540,540
10193_left,135,340,140,540,540
10230_left,135,340,140,540,540
10242_left,135,340,140,540,540
10262_right,135,340,140,540,540
10272_right,135,340,140,540,540
10297_left,135,340,140,540,540
10303_right,135,340,140,540,540
10319_left,135,340,140,540,540
10319_right,135,340,140,540,540
10320_left,135,340,140,540,540
10325_left,135,340,140,540,540
10325_right,135,340,140,540,540
1032_left,135,340,140,540,540
10334_right,135,340,140,540,540
1034_left,135,340,140,540,540
1034_right,135,340,140,540,540
10379_left,135,340,140,540,540
10379_right,135,340,140,540,540
1037_right,135,340,140,540,540
10386_left,135,340,140,540,540
10397_right,135,340,140,540,540
10408_left,135,340,140,540,540
10444_left,135,340,140,540,540
10454_left,135,340,140,540,540
10457_right,135,340,140,540,540
10489_left,135,340,140,540,540
1049_left,135,340,140,540,540
1049_right,135,340,140,540,540
10503_left,135,340,140,540,540
1050_right,135,340,140,540,540
10510_right,135,340,140,540,540
10513_left,135,340,140,540,540
10513_right,135,340,140,540,540
10592_right,135,340,140,540,540
10645_right,135,340,140,540,540
10666_left,135,340,140,540,540
10671_right,135,340,140,540,540
10680_left,135,340,140,540,540
10684_left,135,340,140,540,540
10688_left,135,340,140,540,540
10688_right,135,340,140,540,540
10726_left,135,340,140,540,540
10734_left,135,340,140,540,540
10737_left,135,340,140,540,540
10844_left,135,340,140,540,540
10844_right,135,340,140,540,540
10920_left,135,340,140,540,540
10924_left,135,340,140,540,540
10925_left,135,340,140,540,540
10966_right,135,340,140,540,540
11010_left,135,340,140,540,540
11026_left,135,340,140,540,540
11040_left,135,340,140,540,540
11040_right,135,340,140,540,540
11054_left,135,340,140,540,540
11089_left,135,340,140,540,540
11098_left,135,340,140,540,540
11098_right,135,340,140,540,540
1111_left,135,340,140,540,540
1111_right,135,340,140,540,540
11120_left,135,340,140,540,540
11120_right,135,340,140,540,540
11125_left,135,340,140,540,540
11147_left,135,340,140,540,540
11156_right,135,340,140,540,540
11164_right,135,340,140,540,540
11165_right,135,340,140,540,540
11176_left,135,340,140,540,540
11176_right,135,340,140,540,540
11183_left,135,340,140,540,540
11209_right,135,340,140,540,540
11217_right,135,340,140,540,540
11230_left,135,340,140,540,540
